Iteration,Proportion Test,Proportion Test (Sim Results Dual1.Csv),Proportion Test (Sim Results Dual2.Csv),Proportion Test (Sim Results Dual3.Csv),Proportion Test (Sim Results Dual4.Csv)
1,0.3127,0.3587,0.4153,0.4466,0.4791
2,0.3144,0.3521,0.4006,0.4438,0.4636
3,0.317,0.393,0.4053,0.4335,0.5001
4,0.3139,0.3685,0.3966,0.4344,0.4643
5,0.3142,0.3672,0.3882,0.4555,0.4866
6,0.3155,0.3479,0.4051,0.4692,0.4649
7,0.3096,0.3578,0.4033,0.4442,0.4812
8,0.3151,0.3594,0.4173,0.4402,0.4786
9,0.3269,0.3557,0.3984,0.4578,0.4809
10,0.2979,0.3666,0.4168,0.4481,0.4643
11,0.3203,0.3675,0.402,0.4485,0.4518
12,0.3067,0.3574,0.4025,0.4588,0.4853
13,0.3152,0.3634,0.4198,0.4402,0.48
14,0.3163,0.359,0.4011,0.4587,0.4684
15,0.3109,0.3581,0.4158,0.4385,0.4826
16,0.3109,0.3459,0.4013,0.4618,0.4649
17,0.3212,0.3611,0.4147,0.4656,0.4888
18,0.3201,0.3732,0.3944,0.4654,0.4707
19,0.3111,0.3876,0.3833,0.444,0.4999
20,0.3259,0.3557,0.4222,0.4612,0.4917
21,0.3059,0.3374,0.4277,0.4568,0.4731
22,0.3113,0.3555,0.4174,0.4514,0.4798
23,0.3162,0.3663,0.4249,0.4553,0.4762
24,0.3212,0.3649,0.4018,0.4268,0.4804
25,0.3092,0.3628,0.4117,0.4404,0.464
26,0.3184,0.3489,0.4062,0.4376,0.4739
27,0.3257,0.3518,0.4283,0.4324,0.4945
28,0.3124,0.3675,0.4052,0.4607,0.4696
29,0.3142,0.3686,0.4276,0.4629,0.4804
30,0.3175,0.3626,0.3999,0.4509,0.4731
31,0.3224,0.3773,0.405,0.4509,0.4568
32,0.3169,0.3791,0.3954,0.445,0.4925
33,0.3157,0.354,0.4029,0.4655,0.4619
34,0.3149,0.3767,0.4026,0.4409,0.4831
35,0.3158,0.3843,0.4028,0.4588,0.4675
36,0.3212,0.3675,0.4104,0.4385,0.4568
37,0.3157,0.3781,0.4048,0.4376,0.4836
38,0.3234,0.3805,0.4213,0.4507,0.4905
39,0.3105,0.3663,0.404,0.4479,0.4588
40,0.3172,0.3866,0.4198,0.4469,0.4879
41,0.3172,0.3606,0.4201,0.4449,0.459
42,0.3108,0.3769,0.3885,0.4607,0.4484
43,0.3128,0.3613,0.4319,0.4506,0.4773
44,0.3297,0.3923,0.403,0.4341,0.4678
45,0.3219,0.3776,0.4158,0.4542,0.465
46,0.3189,0.352,0.4161,0.4477,0.4843
47,0.3206,0.3685,0.3931,0.4418,0.4936
48,0.321,0.3575,0.407,0.4418,0.4832
49,0.3192,0.3687,0.4281,0.4433,0.4753
50,0.3176,0.3468,0.3876,0.4483,0.4617
51,0.314,0.3706,0.4,0.4195,0.4566
52,0.3163,0.3553,0.4131,0.4408,0.4748
53,0.3133,0.3705,0.4036,0.4266,0.4929
54,0.3136,0.3378,0.3952,0.4554,0.4676
55,0.3136,0.3501,0.4158,0.4719,0.4714
56,0.3217,0.3539,0.4104,0.4469,0.4709
57,0.321,0.3645,0.4142,0.4317,0.4706
58,0.3102,0.3507,0.4163,0.4398,0.4755
59,0.3109,0.3497,0.3896,0.4347,0.462
60,0.3155,0.3553,0.4005,0.4627,0.4612
61,0.312,0.3667,0.4141,0.4296,0.5036
62,0.3135,0.3461,0.4067,0.4672,0.4841
63,0.3225,0.3687,0.402,0.4458,0.4685
64,0.3221,0.3611,0.4158,0.4428,0.4765
65,0.3189,0.3853,0.4218,0.4589,0.4666
66,0.3113,0.3574,0.4262,0.4443,0.4797
67,0.3143,0.3839,0.4263,0.4828,0.4809
68,0.3191,0.3638,0.4351,0.452,0.4644
69,0.3158,0.3642,0.4286,0.4607,0.4756
70,0.3143,0.3764,0.4095,0.443,0.4745
71,0.3186,0.3828,0.398,0.4643,0.4798
72,0.3127,0.3486,0.4153,0.4741,0.4545
73,0.3131,0.3565,0.4025,0.4456,0.4834
74,0.3216,0.3495,0.4279,0.4685,0.4601
75,0.319,0.3676,0.4319,0.4477,0.4823
76,0.3218,0.3692,0.3939,0.4422,0.4818
77,0.3138,0.3584,0.3954,0.4681,0.4609
78,0.3165,0.355,0.4222,0.4553,0.4914
79,0.3167,0.3673,0.4183,0.4541,0.4854
80,0.312,0.3814,0.4001,0.4387,0.4833
81,0.3081,0.3614,0.3909,0.4523,0.465
82,0.3131,0.3625,0.3881,0.4252,0.4623
83,0.3121,0.359,0.4154,0.4373,0.483
84,0.3101,0.3657,0.4058,0.4269,0.477
85,0.3144,0.3527,0.4033,0.4566,0.4901
86,0.3169,0.3881,0.403,0.4718,0.4836
87,0.3151,0.3488,0.4325,0.4634,0.484
88,0.311,0.3557,0.3999,0.4415,0.4914
89,0.322,0.3699,0.4213,0.4681,0.4722
90,0.3125,0.3778,0.4041,0.4469,0.48
91,0.3286,0.3785,0.4109,0.4591,0.4879
92,0.3221,0.3702,0.4046,0.4302,0.4957
93,0.303,0.3447,0.4063,0.46,0.4696
94,0.3162,0.349,0.4007,0.4538,0.489
95,0.3185,0.3654,0.4289,0.4458,0.4804
96,0.3143,0.3624,0.4045,0.4582,0.4795
97,0.3192,0.3905,0.3836,0.4424,0.455
98,0.3187,0.3828,0.3933,0.4384,0.4978
99,0.3128,0.3608,0.4114,0.4508,0.47
100,0.3185,0.3856,0.412,0.4524,0.4805
