Iteration,Proportion Test,Proportion Test (Sim Results Dual1High.Csv),Proportion Test (Sim Results Dual2High.Csv),Proportion Test (Sim Results Dual3High.Csv),Proportion Test (Sim Results Dual4High.Csv)
1,0.3127,0.3833,0.4506,0.4816,0.5133
2,0.3144,0.3801,0.4294,0.4913,0.5186
3,0.317,0.417,0.4457,0.4837,0.5223
4,0.3139,0.4063,0.4205,0.4842,0.5013
5,0.3142,0.4219,0.4261,0.4953,0.5201
6,0.3155,0.3815,0.4479,0.4969,0.4967
7,0.3096,0.3962,0.4386,0.4935,0.516
8,0.3151,0.3908,0.4411,0.483,0.5116
9,0.3269,0.3869,0.4492,0.5045,0.5211
10,0.2979,0.3955,0.4444,0.489,0.512
11,0.3203,0.4093,0.4301,0.4841,0.5033
12,0.3067,0.3759,0.4474,0.5004,0.5226
13,0.3152,0.3952,0.4561,0.4964,0.5158
14,0.3163,0.3882,0.4394,0.491,0.516
15,0.3109,0.3818,0.4513,0.4762,0.5141
16,0.3109,0.3823,0.4388,0.4982,0.5127
17,0.3212,0.392,0.4522,0.5011,0.5287
18,0.3201,0.4003,0.4424,0.4985,0.5037
19,0.3111,0.4169,0.4281,0.4972,0.5262
20,0.3259,0.3868,0.4485,0.5072,0.5259
21,0.3059,0.3738,0.4562,0.4968,0.5159
22,0.3113,0.3894,0.4513,0.4992,0.5241
23,0.3162,0.3915,0.4653,0.4897,0.5102
24,0.3212,0.3912,0.4542,0.4823,0.519
25,0.3092,0.3849,0.442,0.4946,0.5103
26,0.3184,0.3819,0.4348,0.4734,0.5206
27,0.3257,0.3832,0.4682,0.4739,0.5214
28,0.3124,0.3957,0.4301,0.4854,0.5139
29,0.3142,0.391,0.4522,0.4942,0.5147
30,0.3175,0.3794,0.4485,0.4925,0.519
31,0.3224,0.4085,0.4494,0.4913,0.5053
32,0.3169,0.4027,0.4335,0.4996,0.5253
33,0.3157,0.3869,0.444,0.4889,0.5135
34,0.3149,0.4082,0.4402,0.4846,0.5251
35,0.3158,0.4128,0.4436,0.4918,0.5086
36,0.3212,0.395,0.4521,0.489,0.5122
37,0.3157,0.4037,0.4576,0.4816,0.5171
38,0.3234,0.4094,0.4531,0.4987,0.5117
39,0.3105,0.4001,0.4395,0.4923,0.5077
40,0.3172,0.4148,0.4643,0.4863,0.5145
41,0.3172,0.4011,0.4494,0.4684,0.5
42,0.3108,0.4192,0.4366,0.5034,0.5027
43,0.3128,0.3938,0.4661,0.4833,0.5121
44,0.3297,0.4235,0.4373,0.4674,0.5096
45,0.3219,0.3944,0.4458,0.4975,0.5073
46,0.3189,0.3799,0.4487,0.4887,0.5057
47,0.3206,0.3887,0.4333,0.4886,0.5187
48,0.321,0.3852,0.446,0.4754,0.5297
49,0.3192,0.3911,0.4773,0.4946,0.5076
50,0.3176,0.3795,0.4287,0.4875,0.5013
51,0.314,0.4103,0.4345,0.4714,0.4903
52,0.3163,0.3792,0.445,0.4882,0.5148
53,0.3133,0.3863,0.4272,0.4825,0.5259
54,0.3136,0.3685,0.4446,0.4856,0.5013
55,0.3136,0.3785,0.4585,0.5006,0.5222
56,0.3217,0.382,0.4613,0.484,0.5002
57,0.321,0.4019,0.4497,0.4867,0.5202
58,0.3102,0.3671,0.4687,0.4846,0.5287
59,0.3109,0.377,0.4288,0.4781,0.4946
60,0.3155,0.3821,0.4448,0.4902,0.5027
61,0.312,0.4031,0.4618,0.4811,0.5258
62,0.3135,0.3735,0.4554,0.4926,0.5246
