Iteration,Proportion Test,Proportion Test (Sim Results Clintool1025.Csv),Proportion Test (Sim Results Clintool2150.Csv),Proportion Test (Sim Results Clintool5175.Csv),Proportion Test (Sim Results Clintool76100.Csv)
1,0.3127,0.3388,0.3641,0.3933,0.4242
2,0.3144,0.327,0.3619,0.3855,0.4093
3,0.317,0.349,0.3854,0.3923,0.4138
4,0.3139,0.3465,0.3569,0.4003,0.4158
5,0.3142,0.3244,0.3559,0.4004,0.4054
6,0.3155,0.3309,0.3449,0.395,0.4132
7,0.3096,0.3391,0.3673,0.3862,0.4239
8,0.3151,0.3424,0.3721,0.394,0.4201
9,0.3269,0.3537,0.3713,0.4228,0.4323
10,0.2979,0.333,0.3647,0.3822,0.43
11,0.3203,0.3313,0.3585,0.393,0.4163
12,0.3067,0.338,0.3777,0.3719,0.4173
13,0.3152,0.3293,0.3634,0.3963,0.4228
14,0.3163,0.3331,0.3817,0.4079,0.429
15,0.3109,0.3253,0.3734,0.383,0.4324
16,0.3109,0.3292,0.3823,0.3877,0.4202
17,0.3212,0.3391,0.3519,0.4145,0.4261
18,0.3201,0.3321,0.3654,0.4055,0.4175
19,0.3111,0.3376,0.3532,0.3797,0.4147
20,0.3259,0.3291,0.3665,0.4126,0.4136
21,0.3059,0.3365,0.363,0.3884,0.4263
22,0.3113,0.332,0.3636,0.3915,0.4246
23,0.3162,0.3325,0.349,0.4023,0.4055
24,0.3212,0.3452,0.3676,0.3937,0.3945
25,0.3092,0.3445,0.3514,0.395,0.4125
26,0.3184,0.3297,0.3497,0.3934,0.4022
27,0.3257,0.3364,0.3716,0.4087,0.3865
28,0.3124,0.3344,0.3674,0.3842,0.4415
29,0.3142,0.3195,0.377,0.374,0.4193
30,0.3175,0.3323,0.3613,0.4069,0.3843
31,0.3224,0.3419,0.3885,0.4018,0.429
32,0.3169,0.3499,0.3363,0.4028,0.4375
33,0.3157,0.3232,0.3601,0.3914,0.4119
34,0.3149,0.352,0.377,0.4028,0.4357
35,0.3158,0.3421,0.3443,0.4071,0.4429
36,0.3212,0.3294,0.3656,0.3874,0.3967
37,0.3157,0.3235,0.3424,0.3983,0.4299
38,0.3234,0.3392,0.3524,0.4178,0.4101
39,0.3105,0.3236,0.3746,0.3982,0.4069
40,0.3172,0.3358,0.3638,0.3878,0.4123
41,0.3172,0.3364,0.3481,0.3981,0.4371
42,0.3108,0.325,0.3588,0.3844,0.4116
43,0.3128,0.3361,0.3535,0.4048,0.4039
44,0.3297,0.3337,0.3597,0.4014,0.437
45,0.3219,0.3335,0.3708,0.4209,0.4426
46,0.3189,0.3428,0.3723,0.3959,0.4212
47,0.3206,0.3349,0.3816,0.403,0.4265
48,0.321,0.345,0.3733,0.4035,0.4386
49,0.3192,0.3356,0.3664,0.4064,0.4178
50,0.3176,0.3266,0.3888,0.4006,0.4227
51,0.314,0.3313,0.3693,0.3738,0.4429
52,0.3163,0.3357,0.3544,0.3968,0.4247
53,0.3133,0.3385,0.3771,0.3825,0.4344
54,0.3136,0.3317,0.3608,0.409,0.4209
55,0.3136,0.3374,0.3533,0.3915,0.4239
56,0.3217,0.3288,0.3661,0.3935,0.447
57,0.321,0.3471,0.364,0.4086,0.405
58,0.3102,0.3337,0.3512,0.3932,0.4195
59,0.3109,0.3523,0.3579,0.3825,0.3981
60,0.3155,0.3257,0.3486,0.3825,0.4155
61,0.312,0.3364,0.3783,0.4115,0.432
62,0.3135,0.3243,0.3545,0.3968,0.4499
63,0.3225,0.338,0.3823,0.4173,0.4174
64,0.3221,0.3499,0.3631,0.4087,0.4177
65,0.3189,0.339,0.3548,0.3853,0.4229
66,0.3113,0.3406,0.3513,0.3995,0.4204
67,0.3143,0.3298,0.3437,0.3835,0.4129
68,0.3191,0.339,0.3679,0.3954,0.4322
69,0.3158,0.3432,0.3487,0.3761,0.4269
70,0.3143,0.3465,0.36,0.3906,0.4221
71,0.3186,0.3432,0.3658,0.3841,0.4157
72,0.3127,0.3356,0.3467,0.394,0.4176
73,0.3131,0.3404,0.3497,0.3963,0.4205
74,0.3216,0.3393,0.356,0.403,0.4407
75,0.319,0.3377,0.3706,0.4146,0.4003
76,0.3218,0.3389,0.3643,0.3836,0.4189
77,0.3138,0.3379,0.3842,0.3825,0.4082
78,0.3165,0.3321,0.3753,0.4112,0.4354
79,0.3167,0.3348,0.368,0.3947,0.4211
80,0.312,0.3329,0.3523,0.3768,0.4347
81,0.3081,0.3325,0.3684,0.3748,0.4205
82,0.3131,0.333,0.358,0.3861,0.4166
83,0.3121,0.3455,0.3783,0.3851,0.4295
84,0.3101,0.3422,0.357,0.3934,0.4217
85,0.3144,0.3393,0.3622,0.4109,0.4235
86,0.3169,0.3287,0.3704,0.3822,0.414
87,0.3151,0.3244,0.3551,0.3913,0.4114
88,0.311,0.3477,0.3652,0.3844,0.4387
89,0.322,0.3417,0.3712,0.4229,0.4267
90,0.3125,0.3402,0.3661,0.3908,0.4309
91,0.3286,0.3509,0.346,0.4213,0.414
92,0.3221,0.3425,0.3463,0.3918,0.4355
93,0.303,0.3227,0.3551,0.3618,0.4252
94,0.3162,0.3434,0.356,0.3874,0.4157
95,0.3185,0.3432,0.3546,0.3823,0.4531
96,0.3143,0.3385,0.324,0.4004,0.4088
97,0.3192,0.3504,0.3725,0.4046,0.4327
98,0.3187,0.3261,0.3504,0.4004,0.4099
99,0.3128,0.3197,0.3532,0.4009,0.4243
100,0.3185,0.3413,0.369,0.3905,0.4167
101,0.3041,0.3342,0.3532,0.3847,0.4097
102,0.3183,0.3496,0.3546,0.3899,0.4123
103,0.3165,0.3384,0.3512,0.3905,0.4063
104,0.3167,0.3264,0.3933,0.3851,0.4153
