Iteration,Policy Test,Policy Test (Sim Results Mandate1.Csv),Policy Test (Sim Results Mandate2.Csv),Policy Test (Sim Results Mandate3.Csv),Policy Test (Sim Results Mandate4.Csv),Policy Test (Sim Results Mandate5.Csv),Policy Test (Sim Results Mandate6.Csv),Policy Test (Sim Results Mandate7.Csv),Proportion Test
1,0.471,0.5299,0.5574,0.5968,0.6273,0.6585,0.6983,0.7499,0.3127
2,0.5336,0.5461,0.6447,0.6403,0.6948,0.7681,0.7921,0.8864,0.3144
3,0.5278,0.529,0.6514,0.6296,0.6767,0.811,0.7658,0.9259,0.317
4,0.5382,0.5472,0.628,0.6148,0.6552,0.7399,0.7303,0.831,0.3139
5,0.5407,0.6273,0.6402,0.7126,0.7513,0.765,0.8283,0.8692,0.3142
6,0.5641,0.4856,0.6514,0.5683,0.6072,0.7507,0.6809,0.8437,0.3155
7,0.6093,0.5251,0.7115,0.6282,0.6799,0.8204,0.7843,0.9241,0.3096
8,0.5197,0.5973,0.5975,0.6758,0.7134,0.6835,0.7781,0.7615,0.3151
9,0.5275,0.6495,0.6315,0.7344,0.7788,0.7648,0.8626,0.876,0.3269
10,0.5449,0.5139,0.6267,0.5923,0.6307,0.7071,0.7057,0.8008,0.2979
11,0.5619,0.6516,0.6642,0.7373,0.7781,0.7995,0.8602,0.9113,0.3203
12,0.542,0.5156,0.6206,0.5948,0.6337,0.7054,0.711,0.7877,0.3067
13,0.4593,0.611,0.5477,0.6916,0.7312,0.6665,0.7985,0.7612,0.3152
14,0.4537,0.6026,0.5582,0.686,0.7259,0.6845,0.812,0.7951,0.3163
15,0.4536,0.5742,0.5563,0.6414,0.6722,0.6788,0.7374,0.772,0.3109
16,0.4925,0.5289,0.5954,0.6367,0.6901,0.7113,0.7864,0.8122,0.3109
17,0.5494,0.6458,0.6517,0.7247,0.7639,0.7583,0.8415,0.8658,0.3212
18,0.5318,0.5568,0.6395,0.6366,0.674,0.7823,0.7504,0.8972,0.3201
19,0.4693,0.4994,0.5699,0.5784,0.6224,0.6819,0.7039,0.7829,0.3111
20,0.473,0.6227,0.566,0.6861,0.7143,0.685,0.775,0.7799,0.3259
21,0.5423,0.556,0.6418,0.6352,0.6725,0.752,0.7533,0.8563,0.3059
22,0.5418,0.5556,0.6498,0.666,0.7185,0.7789,0.8306,0.8883,0.3113
23,0.5052,0.6051,0.623,0.672,0.7027,0.7607,0.7751,0.8701,0.3162
24,0.4776,0.5659,0.5733,0.6338,0.668,0.6812,0.7296,0.7774,0.3212
25,0.4377,0.5916,0.5421,0.6625,0.6994,0.647,0.7786,0.7483,0.3092
26,0.5808,0.5442,0.6599,0.666,0.7248,0.7519,0.8368,0.8359,0.3184
27,0.5308,0.6118,0.6096,0.6929,0.7315,0.7034,0.8047,0.789,0.3257
28,0.5646,0.6334,0.662,0.722,0.7615,0.7851,0.828,0.8824,0.3124
29,0.4905,0.5416,0.5774,0.6554,0.709,0.6699,0.8213,0.7573,0.3142
30,0.4821,0.5532,0.5758,0.6582,0.7078,0.6894,0.8096,0.7872,0.3175
31,0.4686,0.54,0.5739,0.6101,0.643,0.7039,0.7152,0.8037,0.3224
32,0.4296,0.5967,0.5507,0.6879,0.733,0.6946,0.8186,0.8091,0.3169
33,0.5186,0.5011,0.6094,0.592,0.6362,0.7161,0.7253,0.8066,0.3157
34,0.4611,0.5758,0.5852,0.6696,0.7195,0.7445,0.8111,0.8629,0.3149
35,0.4725,0.5655,0.5993,0.642,0.6756,0.7602,0.7392,0.8842,0.3158
36,0.4866,0.5914,0.6117,0.7005,0.7487,0.7603,0.8503,0.8796,0.3212
37,0.5579,0.5769,0.666,0.6406,0.674,0.7979,0.7372,0.9126,0.3157
38,0.4544,0.5849,0.5485,0.6799,0.7271,0.6574,0.8217,0.7557,0.3234
39,0.4423,0.5549,0.5534,0.6199,0.6511,0.6839,0.7087,0.7807,0.3105
40,0.5704,0.5448,0.6635,0.6247,0.6629,0.7744,0.7353,0.8654,0.3172
41,0.4869,0.5995,0.6044,0.692,0.7421,0.7676,0.8343,0.8974,0.3172
42,0.4757,0.5846,0.5914,0.6585,0.6897,0.7236,0.753,0.8424,0.3108
43,0.5266,0.5565,0.6356,0.6297,0.6698,0.7744,0.7413,0.8852,0.3128
44,0.4583,0.6471,0.5772,0.7208,0.7584,0.741,0.8274,0.8572,0.3297
45,0.5511,0.6288,0.6409,0.6996,0.7306,0.7412,0.7822,0.8321,0.3219
46,0.5813,0.5728,0.6862,0.671,0.7163,0.8111,0.8141,0.9202,0.3189
47,0.5737,0.5511,0.6737,0.6174,0.6473,0.7893,0.7067,0.8876,0.3206
48,0.5815,0.6339,0.6745,0.6932,0.7255,0.7773,0.7979,0.8782,0.321
49,0.4432,0.6022,0.5424,0.6904,0.7311,0.6602,0.8165,0.7576,0.3192
50,0.4546,0.5918,0.5782,0.6464,0.6695,0.7288,0.7107,0.853,0.3176
51,0.5457,0.5109,0.6458,0.6016,0.6426,0.7698,0.7217,0.8737,0.314
52,0.4623,0.605,0.5684,0.6938,0.7355,0.6948,0.8087,0.7994,0.3163
53,0.5769,0.5897,0.6734,0.6788,0.7195,0.7897,0.8162,0.891,0.3133
54,0.5766,0.5943,0.6775,0.6585,0.6899,0.7963,0.759,0.9059,0.3136
55,0.4755,0.6273,0.5716,0.7098,0.7568,0.6888,0.8381,0.7898,0.3136
56,0.461,0.5869,0.5647,0.6457,0.6727,0.6875,0.7355,0.7953,0.3217
57,0.5894,0.5764,0.6813,0.6467,0.6854,0.7943,0.764,0.8945,0.321
58,0.4596,0.5145,0.5645,0.5961,0.6347,0.681,0.7149,0.7799,0.3102
59,0.5586,0.5639,0.6312,0.6699,0.7175,0.7162,0.8065,0.7953,0.3109
60,0.566,0.5649,0.6593,0.6555,0.7014,0.7721,0.7991,0.8697,0.3155
61,0.4615,0.584,0.5633,0.6317,0.6558,0.6881,0.7073,0.7865,0.312
62,0.4362,0.6299,0.5334,0.6935,0.7264,0.6525,0.8006,0.7518,0.3135
63,0.5898,0.5975,0.6891,0.651,0.6817,0.793,0.7405,0.8941,0.3225
64,0.5357,0.6107,0.6422,0.6832,0.7218,0.7673,0.7959,0.8784,0.3221
65,0.5843,0.5802,0.674,0.6785,0.7257,0.7857,0.8284,0.8861,0.3189
66,0.5902,0.5616,0.6921,0.6804,0.7357,0.8111,0.8456,0.9166,0.3113
